HB.import_ref,HB.location,HB.labels,HB.asset_id,HB.archived,HB.url,HB.name,HB.quantity,HB.description,HB.insured,HB.notes,HB.purchase_price,HB.purchase_from,HB.purchase_time,HB.field.invoice,HB.manufacturer,HB.model_number,HB.serial_number,HB.lifetime_warranty,HB.warranty_expires,HB.warranty_details,HB.sold_to,HB.sold_price,HB.sold_time,HB.sold_notes
9246ac11,Repair Café,GehT weiter! - BMUV; Allgemein,,false,,Namesschild,36,"7,49x3cm, magnetisch",false,https://www.amazon.de/gp/product/B0D831KJQT,0.749166666666667,STANILA FOYA SHOP S.R.L.,2025-04-09,2025-04-10 - STANILA FOYA SHOP S.R.L. - DE-30481784533144329-2025-1744279859,,,,,,,,,,
d4f7e577,Repair Café,GehT weiter! - BMUV; Allgemein,,false,,Etikettendrucker,1,,false,https://www.proshop.de/Label-printer/Brother-P-Touch-Cube-Plus-PT-P710BT-Label-Printer/2808640,81.84,Proshop a/s,2025-04-07,2025-04-08 - Proshop a_s- 20467889,Brother,"P-Touch Cube Plus, weiß",,,,,,,,
3fbf262b,Repair Café,GehT weiter! - BMUV; Allgemein,,false,,Möbelrollen,4,,false,https://amazon.de/gp/product/B091DM4HK2,6.64,Bed Cotton,2025-04-11,"2025-04-12 - Yancheng Cangda E-commerce Co.,Ltd – DS-AEU-INV-DE-2025-171708518",,,,,,,,,,
3e09d366,Repair Café,GehT weiter! - BMUV; Allgemein,,false,,Wackelaugen,1,,false,https://amazon.de/gp/product/B071971T5L,6.90,Laneta Handelshaus,2025-04-11,2025-04-12 - Nils Lennartz _ Sebastian Stangier GbR – 20251066932,,,,,,,,,,
d7ece07c,Repair Café,GehT weiter! - BMUV; Kleben; Betriebsstoff,,false,,2K Kleber,2,"Lösungsmittelfreier Zweikomponenten-Klebstoff auf Epoxidharz-Basis für höchste Belastungen. Die Verarbeitungszeit beträgt bis zu 120 Minuten. Härtezeit und Endfestigkeit bis zu 3000 N/cm2 sind temperaturabhängig. Bei Raumtemperatur nach 12 Stunden fest. Die Klebeverbindung ist schlagfest, alterungs- und feuchtigkeitsbeständig Tube à 33 g",false,https://amazon.de/dp/B000KJP0QK,7.75,color.BER DE,2025-04-07,2025-04-09 - Adam Bober – PL5002PCKM3U1U,UHU,Endfest 300 / 45 640,,,,,,,,
e7023189,Repair Café,GehT weiter! - BMUV; Kleben,,false,,Heißklebepistole,1,,false,https://amazon.de/dp/B0BZPWWVH6,29.64,ABEU SARL DE.,2025-04-07,2025-04-08 - Amazon Business EU S.à.r.l – DE51WGZTABEI,Steinel,MobileGlue 1007-S,,,,,,,,
f11142a2,Repair Café,GehT weiter! - BMUV; Kleben; Betriebsstoff,,false,,Heißklebestick,100,"ø7x100mm, transparent",false,https://www.amazon.de/gp/product/B0BXSMN2DS,0.0639,MIRROR COARE MARIN S.R.L.,2025-04-09,2025-04-10 - MIRROR COARE MARIN S.R.L. - INV2504100886,Relota,,,,,,,,,
30705c62,Repair Café,GehT weiter! - BMUV; Elektrik/Elektronik,,false,,Elektronik Seitenschneider,1,,false,https://endlich-sicher.de/elektronik-seitenschneider-super-knips-rostfrei/4243316051,15.01,FERSYS GmbH,2025-04-09,2025-04-28 - FERYS GmbH – F319861,KNIPEX,78 03 125,,,,,,,,
120bd084,Repair Café,GehT weiter! - BMUV; Elektrik/Elektronik,,false,,Verdrahtungszange,2,,false,https://endlich-sicher.de/knipex-verdrahtungszange-poliert-mit-2-komponenten-griffen-mm/4243322256,27.85,FERSYS GmbH,2025-04-09,2025-04-28 - FERYS GmbH – F319861,KNIPEX,13 02 160,,,,,,,,
4063d2f6,Repair Café,GehT weiter! - BMUV; Elektrik/Elektronik,,false,,Automatik-Abisolierzange,1,,false,https://endlich-sicher.de/knipex-automatik-abisolierzange-180mm-qmm/4243322070,28.17,FERSYS GmbH,2025-04-09,2025-04-28 - FERYS GmbH – F319861,KNIPEX,12 62 180,,,,,,,,
4ce542fa,Repair Café,GehT weiter! - BMUV; Elektrik/Elektronik,,false,,Crimpzange für Aderendhülsen,1,,false,https://endlich-sicher.de/crimpzange-fuer-aderendhuelsen/4243322350,116.11,FERSYS GmbH,2025-04-09,2025-04-28 - FERYS GmbH – F319861,KNIPEX,97 53 04,,,,,,,,
658e183d,Repair Café,GehT weiter! - BMUV; Elektrik/Elektronik,,false,,VDE-Seitenschneider,1,,false,https://endlich-sicher.de/vde-seitenschneider-aus-vanadium-elektrostahl-kopf-verchromt-griffe-mit-mehrkomponenten-kunststoffhuellen/4243308073,22.31,FERSYS GmbH,2025-04-09,2025-04-28 - FERYS GmbH – F319861,KNIPEX,70 06 160,,,,,,,,
5d92dccd,Repair Café,GehT weiter! - BMUV; Elektrik/Elektronik,,false,,Abmantelungswerkzeug,1,,false,https://endlich-sicher.de/knipex-abmantelungswerkzeug-ergostrip/4243322195,29.5,FERSYS GmbH,2025-04-09,2025-04-28 - FERYS GmbH – F319861,KNIPEX,16 95 01,,,,,,,,
7d8f3d63,Repair Café,GehT weiter! - BMUV; Elektrik/Elektronik,,false,,Abisolierzange,1,,false,https://endlich-sicher.de/knipex-abisolierzange-poliert-mit-mehrkomponenten-griffen-160mm-qmm/4243322030,16.33,FERSYS GmbH,2025-04-09,2025-04-28 - FERYS GmbH – F319861,KNIPEX,11 02 160,,,,,,,,
4a0f0cc1,Repair Café,GehT weiter! - BMUV; Elektrik/Elektronik,,false,,Crimpzange für Kabelschuhe,1,,false,https://endlich-sicher.de/crimpzange-fuer-kabelschuhe-und-steckverbinder-preciforce/4243322366,75.73,FERSYS GmbH,2025-04-09,2025-04-28 - FERYS GmbH – F319861,KNIPEX,97 52 36,,,,,,,,
07a2b1ee,Repair Café,GehT weiter! - BMUV; Elektrik/Elektronik; Verbrauchsmaterial,,false,,Wago Durchgangsverbinder,60,bis 4mm²,false,https://amazon.de/gp/product/B08X6CPFNR,0.339666667,ABEU SARL DE.,2025-04-07,2025-04-18 - Amazon Business EU S.à.r.l – DE523E99ABEI,WAGO,221-2411,,,,,,,,
6fd732dc,Repair Café,GehT weiter! - BMUV; Elektrik/Elektronik; Verbrauchsmaterial,,false,,Wago 3-Leiter Verbindungsklemme,50,bis 4mm²,false,https://amazon.de/gp/product/B00JB3U9CG,0.3992,Voltking-de,2025-04-07,2025-04-08 - Voltking GmbH – 4135978,WAGO,221-413,,,,,,,,
8a21bef9,Repair Café,GehT weiter! - BMUV; Elektrik/Elektronik; Verbrauchsmaterial,,false,,Wago 5-Leiter Verbindungsklemme,50,bis 4mm²,false,https://amazon.de/gp/product/B0107SYYGU,0.4836,ABEU SARL DE.,2025-04-07,2025-04-08 - Amazon Business EU S.à.r.l – DE51WH1VABEI,WAGO,221-415,,,,,,,,
69d9279f,Repair Café,GehT weiter! - BMUV; Elektrik/Elektronik,,false,,True RMS Stromzange,1,,false,https://www.amazon.de/dp/B00664VE90,95.08,ABEU SARL DE.,2025-04-09,2025-04-09 - Amazon Business EU S.à.r.l - DE51YF39ABEI,PeakTech,P 1650,,,,,,,,
56d7ed62,Repair Café,GehT weiter! - BMUV; Elektrik/Elektronik,,false,,Messleitungen,1,Set,false,https://www.amazon.de/dp/B018D1WE8I?m=A3JWKAKR8XB7XF&th=1&psc=1,43.99,ABEU SARL DE.,2025-04-09,2025-04-10 - Amazon Business EU S.à.r.l – DE51YF1RABEI,PeakTech,P 8200,,,,,,,,
e063ced8,Repair Café,GehT weiter! - BMUV; Elektrik/Elektronik,,false,,Multifunktions-Tester,1,,false,https://amazon.de/gp/product/B09CFVNVKQ,18.99,ABEU SARL DE.,2025-04-11,2025-04-12 - Amazon Business EU S.à.r.l – DE51ZNUMABEI,DollaTek,,,,,,,,,
3f0e0a0b,Repair Café,GehT weiter! - BMUV; Elektrik/Elektronik; Verbrauchsmaterial,,false,,Quetschverbinder,100,,false,https://www.ebay.de/itm/326046803442,0.2766,Alfred Striegel GmbH & Co. KG,2025-04-07,2025-04-07 - Alfred Striegel GmbH & Co. KG – 20251081402025108140,,,,,,,,,,
214092ab,Repair Café,GehT weiter! - BMUV; Elektrik/Elektronik; Verbrauchsmaterial,,false,,Kippschalter,4,,false,https://amazon.de/gp/product/B0D9JJDB5J,1.7475,ABEU SARL DE.,2025-04-11,2025-04-12 - Amazon Business EU S.à.r.l – DE51ZNUMABEI,,,,,,,,,,
a9b77b09,Repair Café,GehT weiter! - BMUV; Elektrik/Elektronik,,false,,AAA Akku,8,"850 mAh, NiMh",false,https://www.amazon.de/AmazonBasics-Vorgeladene-Ni-MH-AAA-Akkus-Akkubatterien-Schwarz/dp/B00HZV9YE0/ref=sxts_b2b_sx_reorder_acb_customer?content-id=amzn1.sym.0306fa91-4542-4b3f-93ee-2cceb47cd19a%3Aamzn1.sym.0306fa91-4542-4b3f-93ee-2cceb47cd19a&crid=2J5DISXE9TY98&cv_ct_cx=aaa%2Bakku&keywords=aaa%2Bakku&pd_rd_i=B00HZV9YE0&pd_rd_r=7d890ba1-a412-4c41-97f7-1310c3cf5f49&pd_rd_w=aJxXA&pd_rd_wg=8qWmH&pf_rd_p=0306fa91-4542-4b3f-93ee-2cceb47cd19a&pf_rd_r=P51KNP8KEH011R4XY23Y&qid=1744225438&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sprefix=aaa%2Bakku%2Caps%2C122&sr=1-1-f6a8e408-1525-4fff-bf34-90dfe9953f7b&th=1,0.945,ABEU SARL DE.,2025-04-09,2025-04-09 - Amazon Business EU S.à.r.l – DE51YF39ABEI,Amazon Basics,,,,,,,,,
163ea32c,Repair Café,GehT weiter! - BMUV; Elektrik/Elektronik,,false,,Akku Ladegerät,1,"LiIon, NiCd, NiMH 10440, 14500, 16340,",false,https://www.ebay.de/itm/294197110501,49.38,Conrad Electronic SE,2025-04-07,2025-04-08 - Conrad Electronic SE – 9773115300,VOLTCRAFT,IPC-3,,,,,,,,
429c8054,Repair Café,GehT weiter! - BMUV; Fahrrad; Betriebsstoff,,false,,Fahrradflickzeug,2,"6 Flicken F1 (0.355.101/7), 1 Flicken F2 (0.355.121/5), 1 Vulkanisierflüssigkeit (0.355.181/9), 1 Rauhpapier, 1 Ventilschlauch",false,https://amazon.de/dp/B081CVJBFD,3.995,GMLIFE-STORE,2025-04-09,2025-04-10 - GMLIFE SPOLKA Z OGRANICZONA – PL500LWLJVS9TU,Rema Tip Top,TipTop02,,,,,,,,
f3cd07db,Repair Café,GehT weiter! - BMUV; Mechanik,,false,,Abzieher,1,30-70mm,false,https://www.ebay.de/itm/364361655571,45.99,eu_collection,2025-04-07,2025-04-07 - eBay GmbH – OSS-101480817,CCLIFE,1320,,,,,,,,
0643d9d5,Repair Café,GehT weiter! - BMUV; Mechanik,,false,,iFixit Werkzeug-Set,1,Pro Tech Toolkit,false,https://www.ifixit.com/de-de/products/pro-tech-toolkit,74.99,iFixit GmbH,2025-04-07,2025-04-08 - iFixit GmbH – INV0283709-DE,iFixit,IF145-307-4,,,,,,,,
23aa76aa,Repair Café,GehT weiter! - BMUV; Mechanik,,false,,Wasserpumpenzange,1,,false,https://endlich-sicher.de/wasserpumpenzange-alligator-kopf-poliert-griffe-mit-rutschhemmenden-kunststoffhuellen/4245102053?affiliateCode=es-de-idealo,15.34,FERSYS GmbH,2025-04-09,2025-04-28 - FERYS GmbH – F319861,KNIPEX,88 01 250 ,,,,,,,,
76f478f8,Repair Café,GehT weiter! - BMUV; Mechanik,,false,,Radiozange,1,,false,https://endlich-sicher.de/knipex-radiozange-vde-gewinkelt-160mm/4243304287?affiliateCode=es-de-idealo,22.68,FERSYS GmbH,2025-04-09,2025-04-28 - FERYS GmbH – F319861,KNIPEX,25 26 160 ,,,,,,,,
4b5b4905,Repair Café,GehT weiter! - BMUV; Mechanik,,false,,Storchschnabelzange,1,,false,https://endlich-sicher.de/knipex-storchschnabelzange-vde-gerade-mit-mehrkomponenten-griffen-200mm/4243304313?affiliateCode=es-de-idealo,24.54,FERSYS GmbH,2025-04-09,2025-04-28 - FERYS GmbH – F319861,KNIPEX,26 16 200,,,,,,,,
3dda8876,Repair Café,GehT weiter! - BMUV; Mechanik,,false,,Sicherungsringzangen,1,"Set, gerade Innenzange. gebogene Innenzange, gerade Außenzange, gebogene Außenzange",false,https://www.amazon.de/dp/B09T6QQ374?th=1,20.99,WISEUP TOOLS OFFICAL,2025-04-09,2025-04-10 - Amazon Business EU S.à.r.l – DE51YEZLABEI,WISEUP,WP012003BG1,,,,,,,,
f154c11d,Repair Café,GehT weiter! - BMUV; Mechanik,,false,,Kombizange,1,,false,https://endlich-sicher.de/kombizange-aus-spezial-werkzeugstahl-kopf-poliert-griffe-mit-mehrkomponenten-kunststoffhuellen/4243302053?affiliateCode=es-de-idealo,13.19,FERSYS GmbH,2025-04-09,2025-04-28 - FERYS GmbH – F319861,KNIPEX,03 02 180,,,,,,,,
7cee334f,Repair Café,GehT weiter! - BMUV; Mechanik,,false,,"Gewindebohrer, M3-M12",1,15tlg.,false,https://amazon.de/gp/product/B0038LH1N2,25.73,ABEU SARL DE.,2025-04-11,2025-04-14 - Amazon Business EU S.à.r.l – DE520S8ZABEI,Projahn,91013,,,,,,,,
ea5e0913,Repair Café,GehT weiter! - BMUV; Mechanik,,false,,Senkbohrer,1,,false,https://amazon.de/gp/product/B0DTHV7MKW,16.14,ABEU SARL DE.,2025-04-11,2025-04-12 - Amazon Business EU S.à.r.l – DE51ZNUMABEI,UNOSEKS,,,,,,,,,
5d3bd2ab,Repair Café,GehT weiter! - BMUV; Mechanik,,false,,"Cuttermesser, 9mm",1,,false,https://amazon.de/dp/B01N1RMEG9,7.97,AK Handelsgesellschaft,2025-04-07,2025-04-08 - AK Klimatechnik GmbH – DE5000PYJM29BI,Würth,2K-CUTTER,,,,,,,,
d6560658,Repair Café,GehT weiter! - BMUV; Mechanik,,false,,"Cuttermesser, 18mm",1,,false,https://amazon.de/dp/B01N1RMEG9,7.97,AK Handelsgesellschaft,2025-04-07,2025-04-08 - AK Klimatechnik GmbH – DE5000PYJM29BI,Würth,2K-CUTTER 18mm,,,,,,,,
c9018643,Repair Café,GehT weiter! - BMUV; Reinigung; Betriebsstoff,,false,,"Arbeitshandschuhe, Größe 10",5,,false,https://amazon.de/dp/B07B8TNL1J,4.504,ABEU SARL DE.,2025-04-09,2025-04-10 - Amazon Business EU S.à.r.l – DE51YF1RABEI,ATG,Maxiflex,,,,,,,,
b84f2dac,Repair Café,GehT weiter! - BMUV; Reinigung,,false,,"Wanne, 20L",1,60x40x12cm,false,https://amazon.de/dp/B00I89Q9AA,11.49,Land-Haus-Shop,2025-04-07,2025-04-08 - Marko Schneider – DE50069M4D6RTI,Kreuwel,3130078,,,,,,,,
022305d6,Repair Café,GehT weiter! - BMUV; Reinigung; Betriebsstoff,,false,,Spiritus,1,1L,false,https://www.amazon.de/BURI-Brennspiritus-Reinigungsmittel-Frostschutzmittel-Verdünner/dp/B0CB3NF3GW,11.38,1a-Handelsagentur 100% positiv ★★★★★,2025-04-07,2025-04-08 - Andre Burmeister 1a-Handelsagentur – DE500J2JNLQXRI,BURI,,,,,,,,,
